Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,"Marital Status",Children,Housing,"Other Pets",NumPets,Gender,Specie,Chip,Sex,Race,Age,State
Comment,David,España,Albacete,Vitoria-Gasteiz,18150,2044,1099,602,343,486,51,Periodista,"Finanzas, banca y seguros",relationship,6,,turtles,15,other,,,,,0,
PublicationStray,Helen,Cuba,Huelva,Santiago de Compostela,61633,3413,753,1152,1508,933,6,Cerrajero,"Negocios y administración, programas multidisciplinarios o generales",divorced,10,ground floor with garden,turtles,2,,,,,,0,
Animal,Randy,Francia,Navarra,Alcalá de Henares,60727,3142,1051,361,1730,1480,79,,"Negocios y administración, programas multidisciplinarios o generales",single,20,detached house,hamster,0,,turtles,unknown,neutered_female,Spaniel Francés,11,adopted
PublicationStray,Ira,Republica de Irlanda,La Gomera,Tarragona,48209,3138,521,948,1669,1840,16,Contador,Magisterio,single,9,,bunny,2,male,,,,,0,
PublicationStrayAddress,Katherine,Malta,Zamora,Lorca,70297,3871,1117,1420,1334,62,27,Filólogo,Psicología,relationship,6,flat,cat,5,,,,,,0,
Event,Irene,Mexico,Vizcaya,Vizcaya,40463,2045,74,1264,707,124,65,Psicólogo,Bachillerato,separated,10,flat,other,12,male,,,,,0,
Event,Brian,Bolivia,Lérida,Coín,54344,2562,1149,404,1009,1289,39,Profesor,Derecho,separated,6,studio,bunny,18,other,,,,,0,
Event,Gayle,Malta,A Coruña,Ferrol,59453,3282,1061,1673,548,1307,62,Profesor,"Negocios y administración, programas multidisciplinarios o generales",divorced,4,triplex,bunny,9,nobinary,,,,,0,
Event,James,Malta,Alava,San Ildefonso,71385,1942,1151,331,460,1125,84,Abogado,ESO,separated,3,ground floor with garden,bunny,8,female,,,,,0,
PublicationHelp,Anthony,Bolivia,Cantabria,Valladolid,60536,4458,1754,781,1923,1505,12,Biólogo,Criminología,single,12,semi-detached house,cat,4,nobinary,,,,,0,
PublicationAdoption,Timothy,Nicaragua,Guadalajara,Ciudad Rodrigo,46110,3752,1729,1613,410,619,42,Químico,Psicología,married,3,semi-detached house,,8,male,turtles,no,castrated_male,Basenji,13,other
PublicationAdoption,Ricky,Republica de Irlanda,Ceuta,La Orotava,80009,3670,854,1501,1315,1483,16,Paramédico,Tecnologías de la información y comunicación,relationship,8,apartment,turtles,17,female,snake,no,unknow,Irish Glen of Imaal terrier,9,unknown
PublicationStray,Ryan,Guatemala,Avila,Ecija,49594,2534,896,970,668,629,79,Cerrajero,Bellas artes,,5,,bunny,12,male,,,,,0,
Event,Iva,Costa Rica,León,Guadalupe,69112,2479,702,1341,436,1717,39,Técnico de sonido,Psicología,separated,6,loft,dog,1,female,,,,,0,
PublicationStrayAddress,Micheal,Republica Dominicana,Cáceres,Lora del Río,49788,3205,689,1575,941,46,14,Enfermero,Ciencias políticas,divorced,16,flat,hamster,8,male,,,,,0,
Animal,Daniel,Honduras,Menorca,Aranjuez,16028,4166,1942,1256,968,132,5,Botánico,Ingeniería Informatica,,18,quadplex,snake,13,nobinary,other,no,neutered_female,Laika de Siberia Oriental,10,healthy
Event,James,Nicaragua,Guipuzcoa,Canary Islands,30217,4443,1957,1948,538,409,79,Matemático,Bellas artes,relationship,18,ground floor,cat,6,other,,,,,0,
PublicationStrayAddress,Earl,Colombia,Valladolid,Guernica,76975,3046,991,478,1577,1046,11,Archivólogo,Ingeniería química,divorced,10,duplex,turtles,0,female,,,,,0,
PublicationStrayAddress,James,Alemania,Santa Cruz de Tenerife,Ourense,10826,4420,1980,1926,514,71,53,Mecánico,Contabilidad y fiscalización,separated,7,ground floor,cat,0,female,,,,,0,
Animal,Mark,Singapur,Burgos,Ourense,42815,3327,788,911,1628,1911,41,Enfermero,Bellas artes,,10,apartment,hamster,10,nobinary,hamster,unknown,castrated_male,Norwich terrier,17,healthy
Event,Eddy,Chile,El Hierro,Santa Cruz de Tenerife,89773,3496,1181,1578,737,1362,19,Paramédico,Ingeniería Informatica,,2,loft,,2,,,,,,0,
Comment,Rebecca,Pakistan,Teruel,Eibar,69640,3787,1921,892,974,1443,8,Profesor,Bellas artes,separated,8,detached house,cat,19,female,,,,,0,
Comment,Danna,Malta,Alava,Plasencia,55297,3474,1134,1995,345,4,24,Frutero,Trabajo y atención social,separated,0,loft,bunny,17,nobinary,,,,,0,
PublicationStray,Mary,Peru,Palencia,Pamplona,58658,2179,874,676,629,715,41,Enfermero,Psicología,,16,,cat,2,female,,,,,0,
PublicationStray,Norma,Paraguay,Valencia,Puerto Real,64199,3686,742,1458,1486,597,43,Paleontólogo,Mercadotecnia y publicidad,separated,10,loft,,16,female,,,,,0,
Event,John,Pakistan,Lanzarote,Santa Cruz de Tenerife,42935,4264,1702,635,1927,1025,96,Contador,Contabilidad y fiscalización,single,14,studio,hamster,8,female,,,,,0,
Event,Richard,Guatemala,Zaragoza,Guipúzcoa,83961,4597,1507,1409,1681,541,89,Secretaria,Ingeniería mecánica y metalurgia,,15,ground floor,other,11,male,,,,,0,
PublicationAdoption,Debra,Pakistan,Las Palmas de Gran Canaria,Álava,82679,2701,671,1557,473,1104,39,Carpintero,Negocios y comercio,married,0,terraced house,cat,17,nobinary,bunny,unknown,neutered_female,Schnauzer estándar,0,dead
PublicationStrayAddress,Douglas,Panama,La Gomera,Barcelona,72522,3356,1523,828,1005,189,11,Lechero,Tecnologías de la información y comunicación,divorced,1,triplex,dog,12,,,,,,0,
Comment,Ralph,Colombia,Avila,Sabadell,28519,2359,1196,1039,124,1755,34,Farmacólogo,Economía,divorced,8,ground floor with garden,bunny,6,,,,,,0,
PublicationStrayAddress,Eddie,Panama,Alicante,Vizcaya,54248,4052,1158,1426,1468,1927,65,Botánico,Economía,single,2,attic,hamster,20,male,,,,,0,
Comment,Linda,Costa Rica,Mallorca,Catalonia,14119,3895,997,1954,944,1247,43,Arquitecto,Ingeniería química,divorced,0,studio,dog,3,other,,,,,0,
PublicationStrayAddress,Hattie,Colombia,Jaén,Mondoñedo,60520,2561,497,1968,96,71,22,Artesano,Negocios y comercio,married,4,ground floor,dog,19,male,,,,,0,
PublicationStrayAddress,Karissa,Singapur,Orense,Mondoñedo,52289,3109,1157,204,1748,1663,52,Arquitecto,Derecho,married,4,ground floor with garden,snake,14,,,,,,0,
Animal,Gregory,Nicaragua,Lugo,Getafe,37537,1407,603,193,611,1015,67,Carpintero,Ciencias políticas,separated,1,bungalows,cat,7,other,turtles,no,castrated_male,Braco Italiano,17,unknown
PublicationStray,Norman,Venezuela,Asturias,Barakaldo,24764,4249,1663,986,1600,1124,70,Lechero,Ciencias políticas,,3,,hamster,19,nobinary,,,,,0,
Animal,Mark,Uruguay,Avila,Basque Country,19138,1502,481,346,675,292,87,Abogado,Bellas artes,married,2,flat,turtles,16,female,bunny,unknown,castrated_male,Irish Glen of Imaal terrier,3,other
Event,Summer,Bolivia,Tarragona,Antequera,94407,1971,129,901,941,388,59,Técnico de sonido,Mercadotecnia y publicidad,separated,6,semi-detached house,turtles,2,other,,,,,0,
Animal,Hazel,Venezuela,Alava,Villarrobledo,20802,3280,520,1312,1448,1381,64,Ingeniero,Ciencias políticas,divorced,7,detached house,,5,,cat,no,castrated_male,Bullmastiff,17,healthy
PublicationHelp,Margaret,Republica Dominicana,Burgos,Pola de Siero,69136,1593,34,1323,236,1824,25,Químico,Mercadotecnia y publicidad,,20,attic,cat,9,nobinary,,,,,0,
Animal,Mary,Alemania,Mallorca,Marchena,70195,2448,1318,881,249,1218,69,Computista,Bachillerato,single,11,semi-detached house,turtles,11,other,hamster,unknown,neutered_female,Elkhound Noruego,5,other
PublicationStray,Albert,España,Granada,Mataró,90239,2489,988,61,1440,1591,68,Biólogo,Psicología,single,20,loft,bunny,15,nobinary,,,,,0,
Event,James,Guinea Ecuatorial,Almería,Martos,51308,3951,1697,352,1902,1731,32,Artesano,"Finanzas, banca y seguros",separated,18,semi-detached house,snake,2,other,,,,,0,
PublicationStrayAddress,James,Panama,Cantabria,Vilalba,65469,2930,1246,1125,559,1730,52,Archivólogo,Trabajo y atención social,separated,18,ground floor,hamster,16,,,,,,0,
Event,Carl,Costa Rica,Salamanca,Vizcaya,46941,4557,1704,1992,861,1146,98,Paramédico,ESO,separated,17,terraced house,turtles,3,nobinary,,,,,0,
PublicationAdoption,Christine,Chile,Valladolid,Ciudad Real,96384,2164,1448,252,464,60,41,Psicólogo,Ingeniería Informatica,,3,,other,8,nobinary,dog,yes,neutered_female,Spaniel de Campo,20,adopted
Comment,Herman,Republica de Irlanda,Salamanca,San Ildefonso,23504,3046,664,1563,819,1080,6,Abogado,Ingeniería Informatica,married,16,loft,cat,12,male,,,,,0,
PublicationStray,Margaret,Costa Rica,Mallorca,Aragon,10603,2883,1986,107,790,114,6,Matemático,Bellas artes,,12,loft,other,0,male,,,,,0,
Comment,Gabriele,Venezuela,Cantabria,Baza,93899,4441,1527,1224,1690,1701,47,Lechero,"Negocios y administración, programas multidisciplinarios o generales",single,4,apartment,,12,,,,,,0,
PublicationHelp,Luis,Republica de Irlanda,Lérida,Lugo,58090,4236,1896,1510,830,85,27,Computista,Criminología,relationship,20,attic,snake,18,other,,,,,0,
PublicationHelp,Debra,Republica Dominicana,Las Palmas de Gran Canaria,Soria,77166,1286,24,633,629,1181,30,Ingeniero,Bellas artes,divorced,0,flat,turtles,5,male,,,,,0,
PublicationStrayAddress,Carla,Guinea Ecuatorial,La Palma,San Fernando,72486,3058,696,1312,1050,1216,38,Psicólogo,Bachillerato,relationship,13,attic,snake,1,male,,,,,0,
PublicationAdoption,Marion,Singapur,Vizcaya,Huesca,21439,3131,691,1083,1357,1354,17,Técnico de sonido,Tecnologías de la información y comunicación,married,4,detached house,,15,other,turtles,unknown,unknow,Bosnian Hound,0,unknown
Animal,James,Mexico,Toledo,Cáceres,53802,3832,1440,527,1865,978,75,Frutero,"Negocios y administración, programas multidisciplinarios o generales",relationship,0,triplex,turtles,0,male,bunny,no,intact_male,Husky Siberiano (Siberian Husky),4,foster
Comment,Mary,Uruguay,Vizcaya,Llívia,67430,4471,1017,1473,1981,237,57,Mecánico,"Negocios y administración, programas multidisciplinarios o generales",divorced,3,duplex,bunny,5,other,,,,,0,
PublicationStrayAddress,Stacey,Reino Unido,Cádiz,Carmona,34926,3382,1418,1418,546,1546,69,Electricista,Tecnologías de la información y comunicación,,0,ground floor,hamster,0,other,,,,,0,
Comment,Emily,Panama,Gran Canaria,Granada,88761,4675,1888,1694,1093,931,19,Biólogo,Psicología,relationship,11,duplex,bunny,16,other,,,,,0,
PublicationStray,Shirley,Cuba,Alava,Cabra,18406,3319,726,905,1688,1859,51,,Psicología,relationship,0,triplex,turtles,18,male,,,,,0,
PublicationStray,Tracy,India,Córdoba,Jaén,79273,3863,1329,893,1641,88,46,Músico,Ingeniería mecánica y metalurgia,separated,18,terraced house,other,9,,,,,,0,
PublicationStrayAddress,Neal,Uruguay,Gran Canaria,Oviedo,12183,3799,511,1458,1830,432,20,Cerrajero,ESO,,6,bungalows,dog,15,other,,,,,0,
Comment,Justin,Guatemala,Huelva,Antequera,22329,3070,1268,765,1037,1921,89,Cocinero,Ingeniería Informatica,divorced,14,duplex,dog,5,female,,,,,0,
PublicationAdoption,Nicholas,Singapur,Madrid,Granollers,88735,2972,15,1862,1095,1008,87,Técnico de sonido,Bellas artes,,13,semi-detached house,snake,7,male,bunny,no,neutered_female,Cotón de Tuléar,4,vet
PublicationStray,Katie,Venezuela,Ciudad Real,Ortigueira,30521,3374,1577,1104,693,1458,60,Filólogo,Tecnología y protección del medio ambiente,relationship,8,quadplex,bunny,5,female,,,,,0,
PublicationStrayAddress,Sarah,Peru,Lanzarote,Santurtzi,55372,4284,934,1533,1817,1719,98,Botánico,Criminología,divorced,16,triplex,hamster,4,nobinary,,,,,0,
PublicationHelp,Angelina,Chile,Albacete,Badalona,40964,2712,975,294,1443,463,13,Secretaria,Ciencias políticas,single,15,ground floor,bunny,0,nobinary,,,,,0,
PublicationStrayAddress,Mark,Singapur,Valladolid,Málaga,17751,2281,575,862,844,418,78,Matemático,"Negocios y administración, programas multidisciplinarios o generales",relationship,8,attic,cat,17,nobinary,,,,,0,
PublicationHelp,David,Peru,Almería,Murcia,89330,1713,383,324,1006,47,27,Arquitecto,Criminología,,18,detached house,hamster,4,nobinary,,,,,0,
PublicationHelp,Kyle,Colombia,Cuenca,Lorca,10566,1044,2,945,97,70,21,Carpintero,Magisterio,separated,0,semi-detached house,cat,16,other,,,,,0,
Comment,Amanda,Republica Dominicana,Albacete,Bilbao,99038,2994,1364,1418,212,43,63,,"Finanzas, banca y seguros",separated,0,apartment,turtles,16,male,,,,,0,
Animal,Alice,Honduras,Santa Cruz de Tenerife,Córdoba,86017,4104,1982,1328,794,500,29,Técnico de sonido,Ingeniería Informatica,separated,6,bungalows,,4,other,bunny,yes,unknow,Staffordshire bull terrier,13,dead
PublicationStrayAddress,Dinah,Peru,Valladolid,Granada,43375,2926,773,541,1612,1080,61,Lechero,Ingeniería Informatica,married,5,terraced house,,15,,,,,,0,
Animal,Andrea,India,Mallorca,Plasencia,31113,3117,660,1162,1295,1945,52,Músico,Psicología,,5,studio,hamster,3,nobinary,cat,yes,castrated_male,Grifon Belga,1,other
Animal,Doris,Guinea Ecuatorial,Ciudad Real,Lugo,12010,1808,85,582,1141,741,49,Técnico de sonido,Criminología,divorced,6,detached house,hamster,16,other,dog,yes,intact_male,Bobtail,17,unknown
Comment,Harley,Mexico,Lugo,Sanlúcar de Barrameda,15157,2445,1026,1056,363,1771,82,Electricista,Administración y gestión de empresas,relationship,12,attic,other,13,male,,,,,0,
Animal,Bernie,Mexico,Murcia,Sevilla,58636,2053,1576,399,78,1356,19,Carpintero,Sociología y antropología,married,9,ground floor,bunny,6,male,dog,no,intact_female,Azawakh,10,adopted
PublicationStrayAddress,Ann,Panama,Málaga,Madrid,60875,3599,1550,481,1568,136,97,Lechero,"Finanzas, banca y seguros",,14,quadplex,other,8,other,,,,,0,
Comment,Richard,Bolivia,Huelva,A Coruña,67460,3558,1473,1916,169,1065,31,Arquitecto,Mercadotecnia y publicidad,divorced,7,terraced house,dog,4,male,,,,,0,
PublicationStrayAddress,Matthew,Panama,Orense,Marchena,10191,3950,934,1830,1186,1064,13,Médico cirujano,Ingeniería Informatica,single,5,attic,,9,other,,,,,0,
PublicationHelp,Davis,Republica de Irlanda,Lanzarote,Zamora,94390,4081,1186,1654,1241,1173,89,Mecánico,Tecnologías de la información y comunicación,separated,0,loft,other,8,female,,,,,0,
PublicationStray,Ronald,Pakistan,Lanzarote,Murcia,37623,2250,1036,991,223,55,11,Profesor,Negocios y comercio,relationship,4,,snake,12,female,,,,,0,
Comment,Anna,Venezuela,Menorca,Ourense,31643,4246,1861,1300,1085,520,38,Computista,Trabajo y atención social,divorced,11,duplex,turtles,14,nobinary,,,,,0,
Comment,Lydia,Guatemala,Ciudad Real,Irun,35153,5068,1726,1401,1941,950,18,,Tecnología y protección del medio ambiente,married,11,flat,snake,18,male,,,,,0,
Event,Jess,Republica de Irlanda,Granada,Telde,32374,4276,846,1584,1846,1450,62,Arquitecto,Negocios y comercio,single,9,quadplex,bunny,19,other,,,,,0,
Event,Julie,Malta,Burgos,Algeciras,50009,3909,1834,1608,467,1197,87,Arquitecto,Magisterio,divorced,0,studio,,11,female,,,,,0,
Event,William,Venezuela,Badajoz,San Fernando,80187,3560,1499,389,1672,1,69,Politólogo,Derecho,,2,apartment,dog,20,other,,,,,0,
PublicationHelp,Linda,Cuba,Ceuta,El Escorial,25899,3212,1375,288,1549,562,22,Cocinero,Negocios y comercio,married,8,semi-detached house,cat,18,male,,,,,0,
PublicationAdoption,Robert,Costa Rica,Granada,Segovia,30072,3130,438,1069,1623,990,20,Enfermero,"Finanzas, banca y seguros",divorced,14,quadplex,dog,9,other,other,,unknow,Spaniel Azul de Picardía,13,healthy
Animal,Lillian,Francia,Teruel,Guadalajara,46533,2879,456,1202,1221,969,92,,Ingeniería química,single,13,attic,cat,5,female,bunny,,castrated_male,Boyero de Montaña Bernes,16,adopted
PublicationAdoption,Colleen,Republica Dominicana,A Coruña,Guernica,11037,3380,1210,1411,759,1078,94,Filólogo,"Finanzas, banca y seguros",,18,bungalows,,11,other,dog,no,intact_female,Spítz Alemán,12,adopted
PublicationAdoption,Mirna,Peru,Orense,Yecla,15015,2885,838,156,1891,53,33,Enfermero,Tecnología y protección del medio ambiente,divorced,13,bungalows,,17,,cat,,unknow,Cane Corso,2,vet
PublicationStrayAddress,Rachel,El Salvador,Valencia,Chiclana de la Frontera,79414,2750,1354,761,635,1221,20,Profesor,Ingeniería química,separated,5,terraced house,other,17,other,,,,,0,
Comment,Alvin,Reino Unido,Cáceres,Aragon,49347,4217,946,1509,1762,3,52,Químico,Negocios y comercio,relationship,1,attic,dog,5,female,,,,,0,
PublicationAdoption,Teresa,España,Zamora,Barakaldo,89401,1652,497,998,157,1620,94,Ingeniero,Negocios y comercio,single,6,terraced house,other,12,other,hamster,,neutered_female,Slovensky Kopov,20,dead
Animal,Shirley,Colombia,Cádiz,Soria,87666,2157,1035,926,196,334,11,Cocinero,Contabilidad y fiscalización,married,2,triplex,snake,14,,cat,,neutered_female,Elkhound Sueco,12,other
PublicationStrayAddress,Charles,Mexico,Las Palmas de Gran Canaria,Alcalá de Guadaira,76456,1953,590,556,807,397,18,Mecánico,Sociología y antropología,relationship,7,duplex,bunny,9,,,,,,0,
PublicationHelp,Joyce,España,Lugo,Barakaldo,39358,2173,438,1642,93,450,53,Lavandero,Tecnología y protección del medio ambiente,separated,18,apartment,turtles,15,male,,,,,0,
PublicationHelp,Bill,Bolivia,Valencia,Navarra,50919,2461,1816,249,396,1817,59,Técnico de sonido,Ingeniería Informatica,married,7,attic,dog,15,other,,,,,0,
PublicationAdoption,Jason,Panama,Lugo,Córdoba,70940,2219,1234,210,775,435,88,Frutero,Negocios y comercio,single,11,flat,other,3,male,hamster,yes,neutered_female,Tchuvatch eslovaco,13,unknown
Comment,Eliza,Guatemala,Segovia,Segovia,80595,3248,742,531,1975,1813,13,Botánico,Trabajo y atención social,single,16,detached house,snake,8,male,,,,,0,
Event,Mary,Panama,Las Palmas de Gran Canaria,Peñarroya-Pueblonuevo,66668,3849,1899,991,959,690,48,Abogado,Derecho,separated,9,terraced house,dog,15,male,,,,,0,
PublicationHelp,Mary,El Salvador,Soria,Mondoñedo,47909,4882,1582,1356,1944,1506,53,Electricista,Derecho,,3,attic,cat,11,other,,,,,0,
PublicationAdoption,Randy,Alemania,Madrid,Manresa,30709,1858,198,800,860,1796,34,Carpintero,Ingeniería Informatica,separated,10,triplex,bunny,15,,bunny,yes,castrated_male,Sabueso de Hygen,19,adopted
PublicationAdoption,Paul,Mexico,Girona,Ciudad Rodrigo,48825,4241,1486,1709,1046,93,86,Bibliotecólogo,Ingeniería Informatica,relationship,7,quadplex,snake,10,female,snake,,unknow,Shiba Inu,15,unknown
Comment,Martin,Honduras,Zamora,Galicia,39544,2368,1204,182,982,1191,14,Historiador,Contabilidad y fiscalización,,20,detached house,bunny,3,nobinary,,,,,0,
Comment,Ginger,India,Tarragona,Guadalajara,91775,3759,1413,1231,1115,562,13,Politólogo,Criminología,relationship,5,ground floor with garden,bunny,6,nobinary,,,,,0,
Comment,Jeffry,Guatemala,Barcelona,San Fernando,45154,2944,214,1498,1232,1132,99,Carpintero,Negocios y comercio,single,19,attic,bunny,1,nobinary,,,,,0,
PublicationHelp,Christine,Malta,Sevilla,Don Benito,48972,3519,1113,1458,948,506,29,Historiador,Bellas artes,married,19,attic,hamster,5,,,,,,0,
PublicationAdoption,Peter,Panama,Lanzarote,Alcázar de San Juan,37494,4117,1276,1588,1253,92,45,Cerrajero,Ciencias políticas,married,15,triplex,other,14,nobinary,bunny,yes,intact_female,Balkan Hound,8,healthy
Animal,Stephen,Mexico,Guadalajara,Sevilla,37522,3041,1986,769,286,1459,62,Bibliotecólogo,Ingeniería química,single,17,flat,snake,9,male,turtles,unknown,castrated_male,Sabueso de Smaland (Smalandsstovare),15,dead
Comment,Michael,El Salvador,Palencia,Santa Coloma de Gramenet,65205,1689,321,1067,301,1290,69,Historiador,"Finanzas, banca y seguros",married,8,quadplex,dog,8,,,,,,0,
Event,Marie,Nicaragua,Vizcaya,Cartagena,64779,2781,185,1769,827,241,41,Físico,Ciencias políticas,single,15,quadplex,snake,2,,,,,,0,
